,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
2634,1195,3.992047787,55.08292389,46.05122757,0,52.3209343,76.64131165,527302,4532.066406,3211.463135,5229.543945,1206.521729,16358.8418,3684.766602,4115.069824,15990.79395,19362.81641,17865.66406,15305.45996,41.41999817,41.19419479,42.48705292,36.27056885,42.9899025,40.9753952,50.67442322,40.67968369,42.32557297,39.63490295,41.11768341,0
2635,1196,4,55.09999847,46,0,52.42494965,76.60171509,521657,4523.910645,3214.657227,5222.755371,1171.027222,16453.91602,3706.01709,4113.757813,15855.59473,19328.83203,17906.44922,15178.46191,41.41999817,41.25017929,42.56708527,34.6437645,43.00390244,41.02340317,50.73543549,40.20376587,42.37557983,39.66490936,41.15367508,0
2636,1197,4,55.09999847,46,0,52.52896881,76.56211853,522196,4531.507324,3217.883301,5199.227051,1132.499146,16525.50781,3717.254883,4113.492676,15651.1748,19317.375,17966.41016,15091.4668,41.41105652,41.28550339,42.6665802,34.40214539,43.01338577,40.55661011,50.74566269,40.28725433,42.41842651,39.13630676,41.1842041,0
2637,1198,4,55.01699066,46,0,52.63298416,76.55599976,527099,4542.370605,3217.417725,5171.444824,1092.942627,16578.99805,3725.670166,4114.616699,15325.77246,19348.54102,18065.42383,15069.57129,41.39306641,41.30950165,42.78857803,36.12348557,43.01938248,39.45030975,50.72166824,40.86718369,42.45443344,38.04243088,41.21020126,0
2638,1199,11.45711994,55,46.16580963,1,52.73700333,76.55599976,532034,4553.234375,3216.933105,5143.662598,1053.386108,16632.48828,3734.085449,4115.740723,15000.37012,19379.70703,18164.4375,15047.67676,41.37507629,41.33349991,42.91057587,37.84482574,43.02537918,38.34401321,50.69766998,41.44711304,42.49044418,36.94855499,41.23619461,1
2639,1200,18.95787048,55,46.11708069,1,52.84102249,76.55599976,536968,4564.097656,3215.164307,5115.880371,1013.829468,16685.98047,3742.500977,4116.864258,14674.96777,19410.87305,18263.45117,15025.78125,41.35708618,41.35749817,43.0325737,39.56616592,43.03137589,37.23771286,50.67367554,42.02704239,42.52645111,35.85467911,41.26219177,2
2640,1201,16.81306458,54.91716003,46.01715851,1,52.94503784,76.55599976,539631,4574.960938,3213.387207,5088.098145,974.2729492,16739.4707,3750.91626,4117.988281,14349.56543,19442.03906,18362.4668,15003.88672,41.33909225,41.38149643,43.15457535,41.2875061,43.03737259,36.13141632,50.64968109,42.60697174,42.56246185,34.76080322,41.28818512,3
2641,1202,14.61377525,54.81705093,46.08295059,1,52.84196854,76.55599976,542279,4558.677246,3219.156006,5055.596191,954.9202881,16827.69922,3733.818604,4118.066895,14311.51758,19465.32617,18411.42383,14946.8457,41.35078049,41.4171257,43.18569565,42.25717163,43.04337311,36.01714706,50.59587097,42.747715,42.58615494,34.76498795,41.3196373,4
2642,1203,12.41448593,54.79999924,46.09999847,1,52.63405609,76.48204803,523779,4536.824219,3224.955811,5021.89209,942.4032593,16943.00195,3709.563232,4116.754395,14777.61816,19473.76367,18358.77148,14832.32813,41.39279175,41.45913696,43.11170959,42.15317154,43.04937363,37.12850952,50.52190399,42.4977417,42.59815216,35.88286972,41.35563278,5
2643,1204,10.21519756,54.79999924,46.09999847,1,52.42614365,76.39464569,522064,4514.97168,3226.108643,4988.187988,929.8862305,17058.30664,3685.307617,4115.442383,15243.71875,19482.20117,18306.11914,14717.81055,41.43480301,41.50114822,43.03772354,42.04917526,43.05537415,38.23986816,50.44793701,42.24777222,42.6101532,37.0007515,41.39162827,6
2644,1205,8.015908241,54.79999924,45.93418884,1,52.2182312,76.30725098,520514,4493.118652,3227.233887,4954.483887,917.3692627,17173.60938,3661.052246,4114.130371,15709.82031,19490.64063,18253.4668,14603.29199,41.47681427,41.54315567,42.96373749,41.94517517,43.06137466,39.35122681,50.37396622,41.99779892,42.62215042,38.11863327,41.42761993,7
2645,1206,11.47694302,54.79999924,45.98278809,1,52.01031876,76.21984863,523470,4471.266113,3223.555908,4920.779785,904.8522339,17288.91406,3636.796875,4112.817871,16175.9209,19499.07813,18200.81445,14488.77441,41.51882553,41.58516693,42.88975525,41.84117508,43.067379,40.46258545,50.29999924,41.74782562,42.63414764,39.23651123,41.46361542,8
2646,1207,14.97921944,54.88278961,46.24836349,1,52.07766724,76.13245392,543742,4407.935547,3219.852051,4942.726563,906.2318726,17305.28906,3638.174805,4113.600098,16446.87891,19498.10156,18198.97266,14442.60449,41.58265686,41.61163712,42.82224274,41.64491653,43.06662369,41.08000183,50.29140472,41.73363495,42.64614868,40.06090927,41.50615692,9
2647,1208,37.88794327,54.56847763,46.21712112,1,52.28569412,76.1190033,518770,4336.080078,3214.703125,4978.868164,912.3468628,17244.875,3646.766357,4117.159668,16373.8877,19479.30273,18300.63086,14507.83887,41.66867447,41.62962723,42.76224899,41.31684494,43.06062317,41.08000183,50.32740784,41.92967606,42.65814972,40.58700562,41.5541687,10
2648,1209,23.07586098,54.83155441,46.53155518,1,52.49372482,76.1190033,520090,4264.224121,3209.545654,5015.010254,918.461853,17184.46289,3655.35791,4120.719238,16300.89648,19460.50195,18402.28711,14573.07324,41.75468826,41.64761734,42.70225906,40.98877335,43.05462265,41.08000183,50.36341476,42.12571335,42.67015457,41.11310196,41.60218048,11
2649,1210,8.078735352,54.90000153,46.51711273,0,52.70175171,76.1190033,521589,4192.368164,3211.758057,5051.151855,924.5768433,17124.05078,3663.949463,4124.278809,16227.90527,19441.70313,18503.94531,14638.30762,41.84070587,41.66560745,42.64226532,40.66070175,43.04862595,41.08000183,50.39941788,42.32175064,42.68215561,41.6391983,41.65019226,0
2650,1211,0.062505357,54.90000153,46.3346138,0,52.90977859,76.1190033,519322,4120.512207,3214.021729,5087.293457,930.6918335,17063.63867,3672.541016,4127.838379,16154.91309,19422.9043,18605.60352,14703.54199,41.92672348,41.68359756,42.58227158,40.33263016,43.04262543,41.08000183,50.4354248,42.51779175,42.69415665,42.16529465,41.69820404,0
2651,1212,0,54.90000153,46.051651,0,53.0442543,76.1190033,521983,4072.421631,3214.430664,5105.51416,948.1640015,16991.75391,3652.755371,4126.806641,16117.70508,19384.61328,18644.60938,14723.24512,41.97000122,41.722229,42.53891373,40.27542496,43.02874756,41.03097534,50.47977066,42.38649368,42.71231842,42.14191437,41.72655106,0
2652,1213,1.989822865,54.90000153,45.91714859,0,53.14125061,76.0296402,520345,4029.192139,3214.833008,5119.124023,969.4996948,16910.94531,3624.918457,4119.669922,16143.72949,19309.40625,18555.91992,14668.11621,41.97000122,41.77225113,42.51491928,40.60346222,43.00873947,40.92096329,50.52979279,41.96448898,42.73631668,41.56209183,41.73855209,0
2653,1214,3.988540411,54.90000153,45.90000153,0,53.23824692,75.92404175,518679,3985.962402,3215.235107,5132.733398,990.8353882,16830.13477,3597.081543,4112.533203,16169.75391,19234.19727,18467.23047,14612.9873,41.97000122,41.82227325,42.49092484,40.9315033,42.98873138,40.81095123,50.5798111,41.5424881,42.76031876,40.98226929,41.75055313,0
2654,1215,10.95453358,54.90000153,45.90000153,1,53.33524323,75.81845093,517014,3942.73291,3215.637207,5146.342773,1012.171082,16749.32422,3569.244629,4105.395996,16195.77832,19158.98828,18378.53906,14557.8584,41.97000122,41.87229919,42.46693039,41.25954437,42.96872711,40.70093918,50.62983322,41.1204834,42.78431702,40.40244675,41.76255035,1
2655,1216,37.76205063,54.85853195,45.9414711,1,53.43223953,75.71285248,515165,3899.503418,3215.322021,5159.952637,1033.506714,16668.51563,3541.407715,4098.259277,16221.80273,19083.7793,18289.84961,14502.72949,41.97000122,41.92232132,42.44293976,41.58758163,42.94871902,40.59092712,50.67985535,40.69848251,42.80831909,39.82262421,41.77455139,2
2656,1217,23.09947395,54.80851746,45.99148178,1,53.52923584,75.60726166,513315,3881.347168,3215.001953,5164.646484,1046.451538,16535.57422,3515.968018,4094.75708,16264.64258,19046.51953,18218.17969,14464.65625,41.96702957,41.90379333,42.41525269,41.78578568,42.93999863,40.82181931,50.68805695,40.52329636,42.81999969,39.05158997,41.76034164,3
2657,1218,8.066148758,54.71711349,46.08288574,0,53.62622833,75.59100342,512738,3868.347168,3218.682861,5167.054688,1056.550537,16362.37109,3491.213379,4096.07666,16337.08984,19080.96094,18181.10938,14454.51563,41.96102905,41.84780502,42.38324738,41.7997818,42.93999863,41.47586441,50.6680603,40.567276,42.81999969,38.08573151,41.72434616,0
2658,1219,4.019657135,54.70000076,46.09999847,0,53.72322464,75.59100342,512171,3855.347168,3222.389648,5169.462402,1066.649658,16189.16797,3466.45874,4097.396484,16409.53711,19115.4043,18144.04102,14444.37598,41.95502853,41.79181671,42.35123825,41.81377792,42.93999863,42.1299057,50.64806366,40.61125565,42.81999969,37.11986923,41.68835068,0
2659,1220,0.02172238,54.70000076,45.93431854,0,53.82022095,75.59100342,511604,3842.347168,3219.685303,5171.870605,1076.748657,16015.96582,3441.704102,4098.71582,16481.98438,19149.8457,18106.97266,14434.23535,41.94903183,41.7358284,42.31923294,41.82777023,42.93999863,42.78394699,50.6280632,40.65523529,42.81999969,36.15400696,41.65235519,0
2660,1221,1.989166379,54.61728668,45.81728745,0,53.91721725,75.59100342,512989,3829.347168,3216.945557,5174.278809,1086.847778,15842.7627,3416.949463,4100.035645,16554.43164,19184.28906,18069.90234,14424.0957,41.94303131,41.67984009,42.28722382,41.84176636,42.93999863,43.43798828,50.60806656,40.69921494,42.81999969,35.1881485,41.6163559,0
2661,1222,3.989199638,54.68281555,45.88281631,0,53.95000076,75.59100342,514389,3836.085693,3221.089111,5172.785645,1064.072876,15761.01172,3427.463135,4101.031738,16576.36133,19233.91406,18026.67383,14383.58691,41.93999863,41.60060883,42.28477859,41.88955688,42.93661499,43.81071472,50.57852936,40.97432327,42.81693268,35.08995056,41.62728119,0
2662,1223,0.024780791,54.70000076,45.98278046,0,53.95000076,75.4730072,515789,3846.905029,3225.272217,5170.291992,1030.121826,15750.0332,3447.979492,4101.595703,16509.54102,19312.19141,17970.83594,14293.35059,41.93999863,41.5086174,42.31677246,41.98559189,42.93061829,43.8347168,50.54253387,41.456604,42.81093216,35.87836456,41.67728806,0
2663,1224,10.93198204,54.70000076,46,0,53.95000076,75.33363342,533286,3857.724121,3229.455322,5167.798828,996.1706543,15739.05469,3468.49585,4102.160156,16442.7207,19390.4668,17915,14203.11426,41.93999863,41.41662598,42.34876633,42.08163071,42.92461777,43.85871506,50.50653839,41.93888092,42.80493164,36.66678238,41.72729492,0
2664,1225,5.541786671,54.70000076,46,0,53.95000076,75.19425964,525816,3868.543457,3233.638428,5165.305176,962.2195435,15728.07617,3489.012207,4102.724121,16375.89941,19468.74414,17859.16211,14112.87793,41.93999863,41.32463455,42.38076401,42.17766571,42.91862106,43.88271713,50.47054291,42.42116165,42.79893112,37.45519638,41.7773056,0
2665,1226,0.049613316,54.65848541,46.04151535,0,53.95000076,75.05488586,518183,3879.362549,3231.741699,5162.812012,928.2684326,15717.09766,3509.528564,4103.288086,16309.0791,19547.01953,17803.32422,14022.64258,41.93999863,41.23264313,42.41275787,42.27370071,42.91262054,43.90671539,50.43454742,42.90344238,42.7929306,38.24361038,41.82731247,0
2666,1227,1.985556602,54.60852814,46.09146881,0,53.95000076,74.91551208,536834,3898.142578,3229.813721,5154.320313,952.4431152,15715.83594,3531.805908,4103.609863,16210.06934,19568.13477,17722.02344,13959.11816,41.93405151,41.15353775,42.48351669,42.33000183,42.90999985,43.91732025,50.46767044,42.90944672,42.79000092,38.78318787,41.85983276,0
2667,1228,3.989213228,54.68281937,46.0171814,0,53.95000076,74.85847473,509003,3918.561768,3227.885742,5144.279297,996.4573975,15722.11816,3554.581299,4103.609863,16054.51953,19481.28906,17588.55078,13939.37402,41.92205429,41.08151627,42.59958267,42.33000183,42.90999985,43.91131592,50.54768753,42.4934845,42.79000092,39.07116318,41.87783051,0
2668,1229,4,54.6171608,45.75148392,0,53.95000076,74.81646729,530531,3938.980957,3225.957764,5134.237793,1040.47168,15728.39941,3577.356445,4103.609863,15898.9707,19394.44141,17455.08008,13919.62988,41.91005707,41.0094986,42.71565247,42.33000183,42.90999985,43.9053154,50.62770462,42.07752609,42.79000092,39.35913467,41.89583206,0
2669,1230,4,54.59999847,45.45145416,0,53.95000076,74.77445984,526629,3959.400146,3225.790527,5124.196777,1084.485962,15734.68066,3600.131836,4103.609863,15743.4209,19307.59375,17321.60742,13899.88574,41.89805984,40.93747711,42.83171844,42.33000183,42.90999985,43.89931488,50.70772171,41.66156387,42.79000092,39.64710617,41.9138298,0
2670,1231,0.040998504,54.64141846,45.52426147,0,53.95000076,74.73245239,514886,3979.819336,3225.630371,5114.155273,1128.500244,15740.96191,3622.906982,4103.609863,15587.87109,19220.74805,17188.13477,13880.1416,41.88606262,40.86545944,42.94778442,42.33000183,42.90999985,43.89331436,50.7877388,41.24560547,42.79000092,39.93507767,41.93183136,0
2671,1232,0,54.69141388,45.67424011,0,53.95000076,74.69044495,503088,3985.075684,3226.108154,5111.625977,1109.162109,15782.68945,3616.633301,4102.071777,15485.17578,19146.97461,17107.30078,13810.18652,41.88297272,40.83224106,42.99794006,42.31761932,42.90999985,43.60634613,50.80209351,41.04682159,42.79615784,39.45511627,41.94983292,0
2672,1233,0,54.61706161,45.70000076,0,53.95000076,74.64373779,503992,3987.205322,3226.588135,5111.018066,1068.175659,15851.80566,3602.161621,4098.490234,15475.71289,19097.97656,17134.83203,13658.30859,41.88897324,40.82024384,42.97195053,42.28761673,42.90999985,42.97260284,50.77209473,41.04082108,42.80815125,38.19717026,41.96783829,0
2673,1234,0,54.43434525,45.61717224,0,53.95000076,74.59617615,503835,3989.334961,3219.215576,5110.410156,1027.189209,15920.92285,3587.689697,4094.908203,15466.25,19048.97852,17162.36133,13506.42969,41.89497375,40.80824661,42.945961,42.25761795,42.90999985,42.33885956,50.74209595,41.03482437,42.82014847,36.93922424,41.98583984,0
2674,1235,0,54.40000153,45.51711273,0,53.95000076,74.5486145,503668,3991.4646,3211.809326,5109.802246,986.2027588,15990.04004,3573.218018,4091.326416,15456.78711,18999.98047,17189.89258,13354.55176,41.90097809,40.79624939,42.91997528,42.22761917,42.90999985,41.70511246,50.71209717,41.02882385,42.83214188,35.68128204,42.00384521,0
2675,1236,0,54.3585434,45.5,0,53.95000076,74.50106049,503502,3993.594238,3222.013672,5109.194336,945.2163086,16059.15723,3558.746094,4087.744629,15447.32422,18950.98242,17217.42188,13202.67383,41.90697861,40.78424835,42.89398575,42.19761658,42.90999985,41.07136917,50.68209839,41.02282333,42.84413528,34.42333603,42.02185059,0
2676,1237,0,54.30853271,45.5,0,54.22095108,74.45349884,494179,4022.347656,3232.312012,5085.541016,924.7050781,16102.6875,3524.937256,4083.584229,15478.1416,18903.10938,17127.73047,13097.05371,41.90404129,40.81874847,42.85505676,42.00910568,42.91338348,41.01062012,50.68073273,41.03269958,42.85613251,34.6626358,42.03656769,0
2677,1238,0,54.29999924,45.5,0,54.63110352,74.44599915,497422,4056.619873,3224.381836,5055.964844,911.2182007,16126.42871,3485.647461,4078.654053,15579.52539,18857.36914,16798.74609,13067.5625,41.89204025,40.87875366,42.80105209,41.5951004,42.919384,41.66286087,50.69873047,41.05669022,42.86814117,36.42008972,42.04856491,0
2678,1239,22.84893417,54.21708679,45.41708755,0,55.04125214,74.44599915,500772,4090.892334,3216.330322,5026.388184,897.7312622,16150.16992,3446.357422,4073.724121,15680.91016,18811.62891,16469.76172,13038.07129,41.88003922,40.93875504,42.74704742,41.18109894,42.92538452,42.31510544,50.7167244,41.08068466,42.88014603,38.17754745,42.06055832,0
2679,1240,4.100514412,54.20000076,45.31713486,0,55.45140457,74.44599915,500800,4125.164551,3216.718018,4996.812012,884.2443237,16173.91113,3407.067627,4068.793945,15782.29395,18765.88867,16140.77734,13008.58008,41.86803818,40.99876022,42.69304276,40.76709366,42.93138504,42.96735001,50.73471832,41.10467529,42.89215088,39.93500137,42.07255554,0
2680,1241,2.673696518,54.20000076,45.21711731,0,55.86155319,74.44599915,500932,4159.437012,3217.148193,4967.23584,870.7574463,16197.65332,3367.777832,4063.864014,15883.67871,18720.14844,15811.79199,12979.08887,41.85603714,41.05876541,42.6390419,40.35308838,42.93738556,43.61959076,50.75271225,41.12866974,42.90415573,41.69245911,42.08455276,0
2681,1242,1.340348244,54.28299332,45.28299332,0,55.8662262,74.44599915,501066,4217.74707,3217.578369,4956.972168,870.9024658,16157.81836,3397.06543,4063.489502,15887.00781,18674.55469,15658.21094,12952.72461,41.85893631,41.12005997,42.58687973,39.71369934,42.93661499,43.98268127,50.78499985,41.40184784,42.90384293,42.59782791,42.09982681,0
2682,1243,0.007000132,54.21707153,45.21707153,0,55.66428757,74.39263916,501199,4280.95752,3218.008301,4951.67041,875.6848755,16068.87305,3446.023682,4069.17334,15717.2334,18629.23633,15862.58203,12931.46387,41.87693024,41.18206406,42.53686523,38.7537384,42.93061447,43.98868179,50.82701492,41.89800644,42.89184189,42.63383865,42.11782837,0
2683,1244,5.466159344,54.11706543,45.11706543,0,55.46235275,74.32963562,499412,4344.167969,3218.438477,4946.368652,880.4673462,15979.92773,3494.981934,4074.856934,15547.45996,18583.91797,16066.95313,12910.2041,41.89492416,41.24406815,42.48684692,37.79378128,42.92461395,43.9946785,50.86903,42.39416885,42.87984085,42.6698494,42.13582993,0
2684,1245,10.96116734,54.09999847,45.51383591,1,55.26041412,74.26663971,501184,4407.378418,3218.868652,4941.066895,885.2497559,15890.98242,3543.940186,4080.540771,15377.68555,18538.59961,16271.32422,12888.94434,41.91291428,41.30607224,42.43683243,36.83382416,42.91861343,44.0006752,50.91104507,42.89032745,42.86784363,42.70586014,42.15383148,1
2685,1246,14.96763325,54.18279648,45.68279648,1,55.05847549,74.2036438,504638,4470.588867,3218.06543,4935.765137,890.0321655,15802.03711,3592.898438,4086.224365,15207.91211,18493.28125,16475.69531,12867.68359,41.9309082,41.36807251,42.38681793,35.87386322,42.91261292,44.00667191,50.95305634,43.38648987,42.85584259,42.74187088,42.17183304,2
2686,1247,10.03697109,54.20000076,45.70000076,1,54.99000168,74.14064789,508107,4479.049805,3217.258301,4968.074707,914.2831421,15704.80078,3579.967773,4088.171875,15070.80762,18409.45508,16564.72266,12853.41406,41.95781708,41.41714859,42.35443497,35.86706543,42.92467117,43.76862335,50.97358322,43.60623169,42.85307693,42.73914337,42.18000031,3
2687,1248,5.033412933,54.20000076,45.70000076,0,54.99000168,74.1309967,511576,4476.290039,3216.450928,5009.953125,945.1557617,15601.16699,3549.47583,4085.145508,14990.9834,18252.52148,16418.13086,12850.55371,41.99383163,41.45915604,42.34243774,37.21714783,42.95066452,43.22668076,50.97957993,43.5802269,42.85907364,42.69715118,42.18000031,0
2688,1249,0.029854707,54.20000076,45.45153046,0,54.99000168,74.1309967,509814,4473.530762,3215.643555,5051.831543,976.0283813,15497.53418,3518.983887,4082.119385,14911.15918,18095.58984,16271.53711,12847.69434,42.02984238,41.50115967,42.33043671,38.56723022,42.97666168,42.68473434,50.98558044,43.55422211,42.86507416,42.655159,42.18000031,0
2689,1250,3.983436108,54.20000076,46.47659683,0,54.99000168,74.1309967,509800,4470.770996,3214.836182,5093.710449,1006.901001,15393.90039,3488.492188,4079.093262,14831.33594,17938.65625,16124.94434,12844.83496,42.06585693,41.5431633,42.31843948,39.91730881,43.00265503,42.14278793,50.99158096,43.52821732,42.87107086,42.61316299,42.18000031,0
