,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
823,823,45.82483292,55.59999847,46.21705627,0,60.62346268,77.30474091,602026,4528.476074,3178.985107,5280.421875,1057.322998,18598.80469,3786.184814,3977.517578,19692.72266,21943.23438,23197.70313,19834.69531,45.15515137,45.18235397,47.95541382,42.12337112,49.96259308,52.40574265,66.38189697,47.08854675,48.08477783,43.74055481,46.89527893,0
824,824,0.353109628,55.51713181,46.11713409,1,61.07563019,77.30513763,599429,4532.398438,3176.375488,5274.783203,1064.849854,18674.60156,3775.456787,3977.129639,19804.11914,21904.85742,23415.20117,19724.83398,45.12516022,45.16435242,47.80741501,43.11142731,49.92459106,52.39174271,66.19390106,47.55857468,48.06677628,42.19070053,46.90127945,1
825,825,49.12539291,55.41721725,46.01721573,1,61.52780151,77.30553436,592969,4536.320801,3181.943115,5269.144531,1072.376709,18750.39648,3764.728516,3976.741699,19915.51758,21866.48047,23632.69922,19614.97266,45.09517288,45.14635468,47.65941238,44.09948349,49.88659286,52.37774277,66.00589752,48.0286026,48.04877853,40.64084244,46.90728378,2
826,826,98.63198853,55.48296738,46,1,61.411129,77.30593872,594680,4545.410645,3187.559326,5273.895508,1083.927612,18810.39063,3767.470459,3971.738525,19904.10352,21845.16992,23799.66992,19593.66602,45.05924225,45.12835312,47.54107666,44.92169571,49.84634018,52.36999893,65.94789124,48.25,48.0246315,40.33532333,46.89030457,3
827,827,141.9120483,55.5,46.1655426,1,61.00583649,77.30599976,605357,4555.564941,3193.175293,5281.291992,1096.849976,18858.13086,3774.049561,3960.588867,19676.98828,21856.05078,23863.46484,19717.16602,45.01722336,45.11035156,47.45707703,45.50767136,49.80434036,52.36999893,65.97790527,48.25,47.99462891,41.29328156,46.85430527,4
828,828,185.1454773,55.5,46.20000076,1,60.60054016,77.30599976,616133,4565.71875,3198.791504,5288.688477,1109.772339,18905.87109,3780.628662,3949.439209,19449.875,21866.92969,23927.25781,19840.66602,44.97520828,45.09235382,47.37308121,46.09364319,49.76234055,52.36999893,66.00791168,48.25,47.96463013,42.25123978,46.81830597,5
829,829,228.3789063,55.5,46.03414154,1,60.19524765,77.30599976,626909,4575.872559,3198.981689,5296.084961,1122.694702,18953.61133,3787.207764,3938.289795,19222.75977,21877.81055,23991.05273,19964.16797,44.93319321,45.07435226,47.28908539,46.67961884,49.72034073,52.36999893,66.03791809,48.25,47.93462753,43.209198,46.78230667,6
830,830,271.6123352,55.5,45.91713333,1,59.78995514,77.30599976,631946,4586.026855,3199.144287,5303.481445,1135.617188,19001.35156,3793.786865,3927.140137,18995.64453,21888.68945,24054.8457,20087.66797,44.89117432,45.05635071,47.20508957,47.26559448,49.67834091,52.36999893,66.0679245,48.25,47.90462875,44.16716003,46.74630737,7
831,831,313.7975464,55.5,45.81721115,1,59.38466263,77.30599976,624323,4582.721191,3199.306885,5306.529297,1148.539551,19033.88281,3800.365723,3925.168945,18880.98438,21875.10156,24114.46094,20166.02344,44.85412979,45.03059769,47.1822319,47.54735184,49.63521576,52.12527084,65.99278259,48.23091507,47.87155533,44.62619019,46.6960907,8
832,832,349.8274841,55.41709518,45.88290787,1,58.97937012,77.2846756,616561,4576.645996,3199.469238,5308.454102,1161.461914,19054.62109,3806.944824,3935.341309,18963.56055,21815.36133,24165.51953,20170.5625,44.82213593,45.00061035,47.23022461,47.39538193,49.59121704,51.57727051,65.8468399,48.19492722,47.83555603,44.57817841,46.63409805,9
833,833,385.8277893,55.31713104,45.90000153,1,58.57407379,77.25946808,616203,4570.570313,3199.952637,5310.378906,1174.384277,19075.36133,3813.523926,3945.513916,19046.13867,21755.62109,24216.57813,20175.10156,44.79013824,44.97062302,47.27821732,47.24341202,49.54721832,51.02926636,65.70089722,48.15894318,47.79955673,44.53016663,46.57210541,10
834,834,422.2879028,55.29999924,45.6509819,1,58.16878128,77.23426819,615903,4564.495117,3200.437256,5312.303223,1187.306763,19096.09961,3820.103027,3955.686279,19128.71484,21695.87891,24267.63672,20179.64063,44.75814438,44.94063568,47.32621002,47.09144211,49.5032196,50.48126602,65.55495453,48.12295532,47.76356125,44.48215866,46.51010895,11
835,835,458.7502136,55.29999924,45.59999847,1,57.76348877,77.20906067,617834,4558.419434,3199.151855,5314.228027,1200.229126,19116.83984,3826.682129,3965.858643,19211.29102,21636.13867,24318.69727,20184.17969,44.72615051,44.91064835,47.37420273,46.9394722,49.45922089,49.93326569,65.40901184,48.08696747,47.72756195,44.43414688,46.4481163,12
836,836,2.550826073,55.29999924,45.59999847,0,57.35819626,77.18385315,619787,4558.351074,3197.856689,5322.442383,1184.575562,19223.77344,3840.378662,3974.240234,19258.37695,21572.53125,24398.33594,20185.62109,44.68325043,44.87161636,47.40000153,46.84999847,49.42986298,49.59964371,65.27374268,47.79620361,47.69361115,44.66148376,46.40032578,0
837,837,1.988932848,55.21709442,45.6829071,0,56.95289993,77.18000031,611261,4559.537109,3192.672607,5332.265137,1159.157959,19397.58203,3856.08374,3980.244873,19243.15625,21501.63086,24535.96875,20181.98047,44.62924194,44.82761383,47.40000153,46.84999847,49.41186142,49.5316658,65.14571381,47.27817535,47.66160583,45.16743469,46.36431885,0
838,838,3.988966227,55.11713028,45.61713028,0,56.54760742,77.18000031,602663,4560.723145,3187.469238,5342.088379,1133.740479,19571.39258,3871.788818,3986.249512,19227.9375,21430.73047,24673.60156,20178.33984,44.57523346,44.78360748,47.40000153,46.84999847,49.39385986,49.46369171,65.01769257,46.76015091,47.62960434,45.67338943,46.32831573,0
839,839,7.980985165,55.09999847,45.51712036,0,56.14231491,77.18000031,591777,4561.90918,3188.097168,5351.911133,1108.322998,19745.20313,3887.493652,3992.254395,19212.7168,21359.83008,24811.23242,20174.69922,44.52122498,44.73960114,47.40000153,46.84999847,49.37585831,49.39571381,64.8896637,46.24212265,47.59760284,46.17934036,46.29231262,0
840,840,18.44820786,55.14144135,45.45855713,1,55.7370224,77.18000031,595176,4563.095215,3188.746826,5361.734375,1082.905396,19919.01172,3903.19873,3998.259033,19197.49805,21288.92773,24948.86523,20171.05859,44.46721649,44.6955986,47.40000153,46.84999847,49.35785675,49.32773972,64.76163483,45.72409439,47.56560135,46.6852951,46.25630951,1
841,841,28.94628334,55.1914444,45.40855789,1,54.87699127,77.18000031,598676,4563.998535,3197.473389,5358,1100.849365,20058.45703,3911.871582,4002.425781,19141.34961,21281.77344,25035.93555,20201.22266,44.42875671,44.65288544,47.33794403,46.10682297,49.34323883,49.30957794,64.63365173,45.42499924,47.53154755,46.79802704,46.20282745,2
842,842,39.44435883,55.20000076,45.48291016,1,53.7847023,77.20134735,608889,4564.842285,3206.237793,5350.766113,1133.524658,20171.26953,3918.563965,4004.159668,19013.35742,21394.80859,25019.94141,20286.52148,44.40608978,44.61088181,47.20392227,44.30664444,49.33123779,49.35358047,64.50569916,45.3209877,47.49554443,46.51213074,46.13486862,3
843,843,49.9424324,55.28284836,45.5,1,52.69240952,77.22653961,619148,4565.686523,3201.755127,5343.531738,1166.199951,20284.08008,3925.256592,4005.893311,18885.36523,21507.84375,25003.94727,20371.82031,44.38342285,44.56888199,47.06990051,42.50646591,49.31923676,49.39758682,64.37774658,45.21697617,47.45954132,46.22623825,46.0669136,4
844,844,4.335193634,55.29999924,45.33398056,0,51.60012054,77.2517395,629407,4566.530762,3197.223633,5336.297363,1198.875366,20396.89258,3931.948975,4007.626953,18757.37305,21620.87891,24987.95313,20457.11914,44.36075211,44.52687836,46.93588257,40.70628357,49.30723572,49.44159317,64.24978638,45.11296463,47.42353821,45.94034195,45.99895477,0
