,Unnamed: 0,Time,CHWST,OA Humidity,OA Temperature,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time,Flow Rate,Return Temperature,Action,Power,Power Actual
0,0,0,46.40000153,90.51999664,72.29199982,1532.060059,0.0,1640.346558,1679.903198,10463.95605,2791.2854,0.0,6962.660645,10617.38086,7354.061035,6016.6879880000015,44.68580246,45.63212967,46.36000061,48.87660217,53.63525772,56.80916977,76.4445343,55.45072174,53.86707306,53.04394913,54.18817902,1,79.96993256,53.28289413,1.0,,413680
1,1,1,46.40000153,90.50807953,72.29199982,1561.681641,0.0,1603.6311039999996,1666.561646,10488.05664,2775.653809,0.0,7142.070312999998,10589.62891,7443.526855,5974.6396479999985,44.72885132,45.56287003,46.35165787,48.9851532,53.63337326,57.09251785,76.41925812,55.56837082,53.88024902,52.59951019,54.19309235,2,79.9199295718817,53.44759789446606,0.0,391828.8453281316,404159
2,2,2,46.23420334,90.49007416,72.31030273,1597.3959960000002,0.0,1556.358643,1646.811768,10506.84668,2723.311035,0.0,7275.148437999998,10535.46191,7771.230469,5937.387695,44.76685715,45.45883942,46.33365631,48.10096359,53.63937759,58.62501144,76.40126038,55.1884079,53.90024948,51.95347214,54.21709061,3,18.608257206781015,53.67406929008904,0.0,387871.95665462886,408172
3,3,3,46.28276062,90.47207642,72.33189392,1633.110474,0.0,1509.08606,1627.062012,10525.63672,2670.968262000001,0.0,7408.226073999998,10481.2959,8098.93457,5900.135742,44.80486298,45.35481262,46.31565475,47.2167778,53.64537811,60.15750122,76.383255,54.80844116,53.92025375,51.30743027,54.24109268,4,18.061762226312794,53.69097497943163,0.0,387374.324940959,412268
4,4,4,46.21707153,90.45407104,72.35348511,1668.824951,0.0,1461.813477,1607.3122560000004,10544.42676,2618.625488,0.0,7541.303711,10427.12891,8426.638672,5862.883789,44.84286499,45.25078583,46.29765701,46.3325882,53.65138245,61.689991000000006,76.36524963,54.42847824,53.94025421,50.66139221,54.26509094,5,17.056587207771308,53.67518837584019,0.0,387464.7293536841,416364
5,5,5,46.11719894,90.43606567,72.37507629,1704.539429,0.0,1414.540894,1587.562378,10563.21777,2566.282715,0.0,7674.381348000001,10372.96191,8754.341797,5825.631348,44.88087082,45.14675903,46.27965546,45.44839859,53.65738678,63.22248077,76.34724426,54.04851151,53.96025467,50.01535416,54.28909302,0,15.749410917956732,53.530743314630385,0.0,393179.9911354863,420461
6,6,6,46.09999847,90.43000031,72.39667511,1710.640015,0.0,1397.97522,1594.144775,10585.17969,2501.366699,0.0,7898.077148,10344.19434,8999.893555,5791.621582,44.89702225,45.02335358,46.27000046,45.45777512,53.67015839,64.05569458,76.33641052,54.12231445,53.98537827,50.11078262,54.29999924,0,4.211109162537342,53.45934232175067,0.0,393193.13253294927,389908
7,7,7,46.18289948,90.43000031,72.40000153,1710.640015,0.0,1389.296875,1609.706909,10609.58984,2432.905518,0.0,8280.266602,10363.58203,9077.246094,5762.88623,44.89102173,44.88936615,46.27000046,46.73352051,53.6881485,64.02368927,76.33041382,54.59822083,54.01537323,50.95848465,54.29999924,0,0.5890122077622202,53.45061340957976,0.0,391547.1960886775,391685
8,8,8,46.20000076,90.43000031,72.40000153,1710.640015,0.0,1380.61853,1625.269043,10634.0,2364.444092,0.0,8662.455078,10382.96973,9154.598633,5734.150879,44.88502121,44.75537872,46.27000046,48.0092659,53.70614243,63.99168777,76.32441711,55.0741272,54.04536438,51.80618286,54.29999924,0,0.0,53.47146797249819,0.0,390311.60057290766,390459
9,9,9,46.11718369,90.43000031,72.40000153,1710.640015,0.0,1371.940186,1640.831177,10658.40918,2295.98291,0.0,9044.644531,10402.35645,9231.952148,5705.415527,44.87902069,44.62139129999999,46.27000046,49.28501129,53.72413635,63.95968246,76.31841278,55.55002975,54.07535553,52.65388489,54.29999924,1,1.3814643638302968,53.52602953030235,0.0,388231.39362515486,389208
